Dataset Size,Transactions Taxonomy Elements Frequency,Association Rules
100,"1001         5
1002        11
1003         2
1004         2
1005         0
            ..
(159, 1)     3
(130, 2)     1
(235, 2)     1
(230, 5)     1
(200, 6)     1
Length: 1321, dtype: int64",[]
200,"1001         5
1002        15
1003         2
1004         2
1005         3
            ..
(200, 6)     1
(230, 3)     6
(236, 2)     2
(132, 2)     1
(159, 2)     1
Length: 1325, dtype: int64",[]
500,"1001          5
1002         29
1003          2
1004          2
1005          8
             ..
(100, 8)      2
(157, 2)      1
(305, 1)      1
(150, 11)     1
(100, 11)     1
Length: 1342, dtype: int64",[]
1000,"1001          6
1002         42
1003          2
1004          2
1005         13
             ..
(220, 4)      1
(237, 2)      2
(300, 1)      1
(230, 7)      1
(200, 10)     1
Length: 1354, dtype: int64",[]
2000,"1001        12
1002        79
1003         2
1004         2
1005        21
            ..
(130, 4)     2
(155, 2)     1
(306, 7)     1
(306, 2)     1
(306, 3)     1
Length: 1371, dtype: int64","[(frozenset({('210', 1)}), frozenset({'2010'}), 344, 0.7695749440715883), (frozenset({('212', 1)}), frozenset({'2010'}), 372, 1.0), (frozenset({('230', 1)}), frozenset({('200', 1)}), 200, 1.0), (frozenset({('100', 1)}), frozenset({('150', 1)}), 446, 0.7012578616352201), (frozenset({('150', 1)}), frozenset({('100', 1)}), 446, 1.0)]"
3000,"1001          19
1002         126
1003           2
1004           2
1005          26
            ... 
(200, 20)      1
(200, 7)       1
(303, 2)       3
(307, 1)       3
(302, 3)       1
Length: 1382, dtype: int64","[(frozenset({('154', 1)}), frozenset({'1113'}), 298, 0.5752895752895753), (frozenset({('235', 1)}), frozenset({('230', 1)}), 34, 1.0), (frozenset({('210', 1)}), frozenset({'2010'}), 492, 0.7557603686635944), (frozenset({('132', 1)}), frozenset({('130', 1)}), 26, 1.0), (frozenset({('212', 1)}), frozenset({'2010'}), 534, 1.0), (frozenset({('230', 1)}), frozenset({('200', 1)}), 302, 1.0), (frozenset({('210', 1)}), frozenset({('200', 1)}), 56, 1.0), (frozenset({('200', 2)}), frozenset({('230', 1)}), 209, 0.6040462427745664), (frozenset({('230', 1)}), frozenset({('200', 2)}), 209, 0.6920529801324503), (frozenset({('220', 1)}), frozenset({('200', 1)}), 134, 1.0), (frozenset({('100', 1)}), frozenset({('150', 1)}), 735, 0.718475073313783), (frozenset({('150', 1)}), frozenset({('100', 1)}), 735, 1.0)]"
4000,"1001          19
1002         156
1003           2
1004           2
1005          40
            ... 
(151, 2)       2
(150, 9)       1
(200, 11)      1
(240, 1)       1
(236, 4)       1
Length: 1387, dtype: int64","[(frozenset({('210', 1)}), frozenset({'2010', ('200', 1)}), 60, 0.8108108108108109), (frozenset({('210', 1), ('200', 1)}), frozenset({'2010'}), 60, 0.8108108108108109), (frozenset({('210', 1), '2010'}), frozenset({('200', 1)}), 60, 1.0)]"
6000,"1001         19
1002        192
1003          2
1004          9
1005         56
           ... 
(303, 3)      1
(231, 2)      1
(234, 3)      1
(230, 9)      1
(130, 5)      1
Length: 1398, dtype: int64","[(frozenset({('230', 1), ('210', 1)}), frozenset({('200', 2), '2010'}), 34, 0.8947368421052632), (frozenset({('200', 2), ('230', 1), ('210', 1)}), frozenset({'2010'}), 34, 0.8947368421052632), (frozenset({('230', 1), ('210', 1), '2010'}), frozenset({('200', 2)}), 34, 1.0), (frozenset({('200', 2), ('210', 1), '2010'}), frozenset({('230', 1)}), 34, 0.5230769230769231)]"
8000,"1001         19
1002        260
1003          2
1004         10
1005         71
           ... 
(231, 3)      1
(240, 2)      1
(120, 3)      1
(213, 3)      1
(140, 2)      1
Length: 1409, dtype: int64","[(frozenset({('154', 1)}), frozenset({'1113', ('100', 1), ('150', 1)}), 31, 0.7948717948717948), (frozenset({'1113', ('154', 1)}), frozenset({('100', 1), ('150', 1)}), 31, 1.0), (frozenset({('100', 1), ('154', 1)}), frozenset({'1113', ('150', 1)}), 31, 0.7948717948717948), (frozenset({('154', 1), ('150', 1)}), frozenset({'1113', ('100', 1)}), 31, 0.7948717948717948), (frozenset({'1113', ('100', 1), ('154', 1)}), frozenset({('150', 1)}), 31, 1.0), (frozenset({'1113', ('154', 1), ('150', 1)}), frozenset({('100', 1)}), 31, 1.0), (frozenset({('100', 1), ('154', 1), ('150', 1)}), frozenset({'1113'}), 31, 0.7948717948717948), (frozenset({('230', 1), ('100', 1)}), frozenset({('200', 1), ('150', 1)}), 377, 0.798728813559322), (frozenset({('230', 1), ('150', 1)}), frozenset({('100', 1), ('200', 1)}), 377, 1.0), (frozenset({('200', 1), ('150', 1)}), frozenset({('230', 1), ('100', 1)}), 377, 0.5519765739385066), (frozenset({('230', 1), ('100', 1), ('200', 1)}), frozenset({('150', 1)}), 377, 0.798728813559322), (frozenset({('230', 1), ('100', 1), ('150', 1)}), frozenset({('200', 1)}), 377, 1.0), (frozenset({('230', 1), ('200', 1), ('150', 1)}), frozenset({('100', 1)}), 377, 1.0), (frozenset({('100', 1), ('200', 1), ('150', 1)}), frozenset({('230', 1)}), 377, 0.5519765739385066), (frozenset({('210', 1), ('230', 1)}), frozenset({('200', 2), '2010'}), 46, 0.9019607843137255), (frozenset({('200', 2), ('210', 1), ('230', 1)}), frozenset({'2010'}), 46, 0.9019607843137255), (frozenset({('210', 1), ('230', 1), '2010'}), frozenset({('200', 2)}), 46, 1.0), (frozenset({('200', 2), ('210', 1), '2010'}), frozenset({('230', 1)}), 46, 0.5054945054945055)]"
10000,"1001          19
1002         351
1003           2
1004          12
1005          98
            ... 
(235, 4)       1
(230, 10)      1
(150, 18)      1
(100, 21)      1
(100, 15)      1
Length: 1415, dtype: int64","[(frozenset({('154', 1)}), frozenset({'1113', ('100', 1), ('150', 1)}), 36, 0.782608695652174), (frozenset({'1113', ('154', 1)}), frozenset({('100', 1), ('150', 1)}), 36, 1.0), (frozenset({('100', 1), ('154', 1)}), frozenset({'1113', ('150', 1)}), 36, 0.782608695652174), (frozenset({('154', 1), ('150', 1)}), frozenset({'1113', ('100', 1)}), 36, 0.782608695652174), (frozenset({'1113', ('100', 1), ('154', 1)}), frozenset({('150', 1)}), 36, 1.0), (frozenset({'1113', ('154', 1), ('150', 1)}), frozenset({('100', 1)}), 36, 1.0), (frozenset({('100', 1), ('154', 1), ('150', 1)}), frozenset({'1113'}), 36, 0.782608695652174), (frozenset({('132', 1)}), frozenset({('130', 1), ('100', 2), ('150', 1)}), 70, 0.5882352941176471), (frozenset({('132', 1), ('150', 1)}), frozenset({('130', 1), ('100', 2)}), 70, 1.0), (frozenset({('130', 1), ('132', 1)}), frozenset({('100', 2), ('150', 1)}), 70, 0.5882352941176471), (frozenset({('100', 2), ('132', 1)}), frozenset({('130', 1), ('150', 1)}), 70, 0.6666666666666666), (frozenset({('130', 1), ('132', 1), ('150', 1)}), frozenset({('100', 2)}), 70, 1.0), (frozenset({('100', 2), ('132', 1), ('150', 1)}), frozenset({('130', 1)}), 70, 1.0), (frozenset({('130', 1), ('100', 2), ('132', 1)}), frozenset({('150', 1)}), 70, 0.6666666666666666), (frozenset({('230', 1), ('100', 1)}), frozenset({('200', 1), ('150', 1)}), 501, 0.8093699515347335), (frozenset({('230', 1), ('150', 1)}), frozenset({('100', 1), ('200', 1)}), 501, 1.0), (frozenset({('200', 1), ('150', 1)}), frozenset({('230', 1), ('100', 1)}), 501, 0.5825581395348837), (frozenset({('230', 1), ('100', 1), ('200', 1)}), frozenset({('150', 1)}), 501, 0.8093699515347335), (frozenset({('230', 1), ('100', 1), ('150', 1)}), frozenset({('200', 1)}), 501, 1.0), (frozenset({('230', 1), ('200', 1), ('150', 1)}), frozenset({('100', 1)}), 501, 1.0), (frozenset({('100', 1), ('200', 1), ('150', 1)}), frozenset({('230', 1)}), 501, 0.5825581395348837), (frozenset({('230', 1), ('210', 1)}), frozenset({('200', 2), '2010'}), 63, 0.875), (frozenset({('200', 2), ('230', 1), ('210', 1)}), frozenset({'2010'}), 63, 0.875), (frozenset({('230', 1), ('210', 1), '2010'}), frozenset({('200', 2)}), 63, 1.0), (frozenset({('200', 2), ('210', 1), '2010'}), frozenset({('230', 1)}), 63, 0.5526315789473685), (frozenset({('210', 1), ('100', 1)}), frozenset({'2010', ('150', 1)}), 83, 0.7685185185185185), (frozenset({('210', 1), ('150', 1)}), frozenset({('100', 1), '2010'}), 83, 0.8645833333333334), (frozenset({('210', 1), '2010'}), frozenset({('100', 1), ('150', 1)}), 83, 0.515527950310559), (frozenset({('210', 1), ('100', 1), ('150', 1)}), frozenset({'2010'}), 83, 0.8645833333333334), (frozenset({('210', 1), ('100', 1), '2010'}), frozenset({('150', 1)}), 83, 0.8924731182795699), (frozenset({('210', 1), '2010', ('150', 1)}), frozenset({('100', 1)}), 83, 1.0)]"
